type,sub_type,text,listPrice,sqft,lot_sqft,stories,beds,baths,baths_full,baths_full_calc,garage,year_built,lastSoldPrice,soldOn,sold_to_list_ratio,price_per_sqft_sold,property_age_at_sale
single_family,,"First time on the market since 1980, this elegant French Normandy-style residence reflects over four decades of thoughtful stewardship by one family. Quietly set along a tree-studded lane, the nearly one-acre property opens to a serene pond and a sense of privacy rarely found so close to downtown Lake Forest. Graciously appointed interiors spanning over 5,000 square feet showcase crown molding, tall ceilings, finely detailed millwork, and a true sense of arrival from the moment one enters the foyer. Timeless in character yet highly livable for today, the well-considered floor plan allows for effortless flow between the formal living and dining rooms, the family room, and an exceptionally large kitchen anchored by a center island and generous breakfast room. A screened porch overlooks the backyard and pond, filling the home with natural light and tranquil views throughout the seasons. A private, wood-paneled library appointed with built-ins, grasscloth walls, and a fireplace offers an ideal work-from-home retreat behind French doors. The first floor also includes a guest bedroom with a full bath-perfect for in-laws or guests, and an attached two-car garage. Upstairs, the home continues to impress with three bedrooms, an office, a dedicated laundry room, and a retreat-like primary suite with ample closet space and a spa-inspired bath appointed with dual showers, including a luxurious steam shower. The partially finished basement offers a recreation area and abundant storage space. It is rare to find a property that combines this level of privacy, scale, and architectural integrity just minutes from downtown Lake Forest, with its charming shops, acclaimed restaurants, Metra station, and easy access to the beach and lakefront.",1650000.0,5032.0,40075.0,2.0,5.0,5.0,4.0,4.0,2.0,1967.0,1650000.0,2026-05-04,1.0,327.9,59
condos,condo,"Discover effortless living in the heart of historic downtown Lombard with this commuter's dream condo. This spacious 1,342 sq. ft. home offers 2 bedrooms and 2 full baths, designed for both comfort and convenience. Enjoy generous storage with three large walk-in closets, plus an additional, fully secured storage locker conveniently located on the same floor. The kitchen features brand-new stainless steel appliances, perfect for everyday living and entertaining. Retreat to the oversized primary suite with a walk-in closet and private bath, creating a relaxing personal sanctuary. Additional highlights include brand-new carpeting throughout, a new heating and air conditioning system installed in fall 2025, a newly rebuilt and modernized balcony area, and the convenience of an in-unit washer and dryer. Brand new stainless steel appliance in the eat-in kitchen. An indoor heated parking space is also included. Ideally located just steps from the Metra train, as well as Downtown Lombard's restaurants, shops, and parks, this home puts everything you need right at your fingertips. A rare opportunity to enjoy comfort, convenience, and vibrant downtown living-welcome home!",349900.0,1342.0,,,2.0,2.0,2.0,2.0,1.0,2005.0,333000.0,2026-05-04,0.9517,248.14,21
single_family,,"Spacious and flowing ranch home that has been cared for by the owner! Move- in condition with all new fresh paint. separate living room that welcomes your friends and family, dining area that easily can seat 8 people with a built-in dish cabinet. Spacious kitchen is nicely sized with appliances and adjacent to the 20x7 laundry area. The French doors off dining area lead to an amazing 30x10 family room, great for kids or a gaming area! Large bedroom that can accommodate king size bed, Great location, Interstate access, Holiday Pool and Lakeside Country Club close by. Fenced area has 13x9 shed,13x14 patio,1 1/2 car garage and 18x 20 carport for your extra vehicle or room for your guest parking, Bonus room could be a separate eating area/flex space for home office. Schedule your showing today!",189900.0,1427.0,,1.0,3.0,1.0,1.0,1.0,1.0,1955.0,203000.0,2026-05-04,1.069,142.26,71
townhomes,townhouse,"Experience the ease of carefree living in this popular, just-18-year-old Sable Ridge townhome, tucked away on a low-traffic turnaround street and backing to a peaceful wooded setting that provides a semi-private backyard retreat. Step inside to discover an efficiently designed, comfortable interior. The main level features a practical L-shaped living and dining area that flows seamlessly into the kitchen, which offers a well-planned layout designed for efficiency and convenience, complete with all appliances. A large transom sliding patio door opens to the backyard, where a concrete patio extended with brick pavers creates an ideal setting for outdoor entertaining or quiet relaxation surrounded by nature. A convenient half bathroom completes the main level. Upstairs, you'll find a spacious loft, two bedrooms including a primary bedroom with a walk-in closet, and a convenient laundry room with full-size washer and dryer. Enjoy a terrific community offering a clubhouse, outdoor pool, playground, tennis and basketball courts, all within the sought-after Minooka School District. All furniture currently in the home may be removed or included at no additional cost. Schedule your private showing before this opportunity is gone.",244873.0,1600.0,,,2.0,2.0,1.0,1.0,2.0,2008.0,242424.0,2026-05-04,0.99,151.51,18
single_family,,"This total dollhouse sits on a generous lot & quiet street of north Springfield, just minutes from grocers, dining, interstates & more. Inside you'll find bright living spaces, 3-4 bedrooms, w/some flex space & true laundry room. Warm wood-like floors stretch through most of the super practical layout & a slight ""L"" shape in the living room allows a quaint eat in space to give open concept vibes from the kitchen. Outside, in addition to the detached garage, a generous fenced backyard promises endless outdoor enjoyment on the patio & includes the 5' x 10' greenhouse that can stay. This gem provides peace of mind with super recent updates like the roof & water heater while other major improvements such as A/C & Furnace were completed just 6yrs ago. There's a lot to love already & even more to make your own in this move in ready ranch that's both spacious & affordable!",114900.0,1184.0,,,3.0,1.0,1.0,1.0,1.0,1954.0,115000.0,2026-05-04,1.0009,97.13,72
single_family,,"SPECIAL FINANCING OFFERS AVAILABLE!! READY FOR JANUARY DELIVERY!!!! Homesite# [Redacted] - a beautifully crafted single-story home that perfectly blends modern design with everyday functionality. Thoughtfully laid out with three spacious bedrooms and two full bathrooms, this open-concept floor plan is designed to promote effortless flow and comfortable living. At the heart of the home, the stylish kitchen impresses with a large center island, Quartz countertops, sleek stainless steel appliances, and ample cabinetry-ideal for everything from casual weeknight meals to lively weekend gatherings. The private owner's suite serves as a serene retreat, featuring a generous walk-in closet and a spa-inspired en-suite bath with premium fixtures and finishes for a truly relaxing experience. Two additional bedrooms are conveniently located near a shared full bathroom, making them perfect for family, guests, or a dedicated home office. Designed with both comfort and style in mind, the Rutherford includes 9-foot ceilings, luxury vinyl plank flooring, plush carpeting in bedrooms, Deluxe shower upgrades, smart-height water-saving commodes, and many more premium features that enhance modern living. Whether you're downsizing or seeking a more streamlined lifestyle, the Rutherford is a smart and sophisticated choice for today's homeowner. Exterior will be Indigo color vinyl siding with Federal Hill color brick. (pic for reference ONLY) *Photos are not this actual home* Experience the perfect blend of comfort, convenience, and outdoor living at Prairie Meadows, a charming new community offering low-maintenance ranch-style homes in the vibrant suburbs of Aurora, Illinois. Thoughtfully designed for effortless living and a love of nature, Prairie Meadows delivers a lifestyle centered on relaxation, recreation, and meaningful community connection. This thoughtfully planned neighborhood will feature a scenic park and playground, modern pickleball courts, a welcoming picnic shelter, fire pit, and comfortable seating areas, along with approximately 15 acres of open space to enjoy fresh air and the natural surroundings. Living at Prairie Meadows means you're just minutes from some of Aurora's most popular attractions. Downtown's RiverEdge Park offers outdoor festivals, an amphitheater, and scenic trails along the Fox River, making it a go-to destination for entertainment and relaxation. For shopping enthusiasts, the Chicago Premium Outlets is a premier open-air retail center featuring more than 170 designer brands, seasonal events, and unbeatable deals. Golfers will love the nearby [Redacted] Valley Golf Course, a beautifully maintained 18-hole championship course perfect for both casual and competitive play, complete with a welcoming clubhouse for dining and socializing. Whether you're enjoying a quiet walk through green space or spending the day exploring downtown Aurora, Prairie Meadows is where peaceful suburban living meets a vibrant, active lifestyle.",468731.0,1723.0,,1.0,3.0,2.0,2.0,2.0,2.0,2025.0,450000.0,2026-05-04,0.96,261.17,1
single_family,,"Welcome home to this inviting 4 bedroom, 2 bath ranch nestled in the heart of Champaign, just minutes from shopping, dining, and everyday conveniences! Inside, you'll find a spacious living room that flows seamlessly into the open dining area and kitchen-perfect for both relaxing and entertaining. A separate laundry room just off the kitchen adds extra functionality. The generously sized primary suite features a private full bath and double closets, offering a comfortable retreat. Outside, you'll enjoy the back deck overlooking a fenced backyard with no neighbors to the south, providing added privacy and beautiful, open views. A wonderful blend of comfort, space, and location-don't miss this one!",210000.0,1676.0,7841.0,1.0,4.0,2.0,2.0,2.0,2.0,1976.0,195000.0,2026-05-04,0.9286,116.35,50
condos,condo,"Welcome to this exceptional top-floor condominium at River Place Condominiums in the heart of Naperville - one of the most coveted locations along the scenic Riverwalk. This bright, move-in-ready home offers sweeping views of the iconic Naperville Riverwalk from both the spacious balcony and all living spaces. The open, light-filled interior features fresh, neutral decor and beautiful wood-look vinyl plank flooring throughout. The updated kitchen showcases warm medium-tone maple cabinetry, gleaming granite countertops, stainless steel appliances, and a generous breakfast bar that opens seamlessly to the living area - perfect for casual dining and entertaining. Step through the sliding glass doors onto the oversized private balcony, where you can enjoy peaceful river and downtown views year-round. The primary bedroom also features its own direct balcony access, a large walk-in closet, and the same stunning outlook. The bathroom includes a maple vanity with granite top and a beautifully tiled walk-in shower with frameless glass doors. Additional highlights include: dedicated underground parking space (#105), additional private storage unit (#606), and two unassigned exterior parking spaces. Light and neutral color palette throughout. The HOA fee provides an exceptional level of convenience, covering: Gas, electricity, water, basic cable and high-speed internet, garbage/recycling, continental breakfast, Snow removal & professional landscaping, Full interior & exterior maintenance, Access to the well-equipped fitness center. Live in one of Naperville's most desirable and walkable locations - steps from vibrant downtown shops, restaurants, events, and the picturesque Riverwalk with its winding paths, charming bridges, and seasonal energy.",349900.0,925.0,,,1.0,1.0,1.0,1.0,1.0,1986.0,340000.0,2026-05-04,0.9717,367.57,40
single_family,,"Welcome to ""Blossom City"" - Red Bud, Illinois! If you've been dreaming of a cozy place to call home in the heart of Red Bud, this adorable ranch at [Redacted] is ready to make that dream a reality! Whether you're a first-time buyer or looking to downsize, this home offers comfort, convenience, and charm all wrapped into one. Offering 1,011 sq. ft. on the main level, you'll immediately notice the spacious living room-perfect for relaxing evenings or gathering with family and friends. The eat-in kitchen features original cabinetry, ample counter space, and includes all appliances (purchased in 2011), making it move-in ready. The main floor offers 2 nicely sized bedrooms with a full bath conveniently located between them, and the seller states there is original hardwood flooring beneath the carpet just waiting to be uncovered! The lower level adds an additional 788 sq. ft. and includes a large family room, plus a versatile bonus room ideal for a home office, workout space, or potential 3rd bedroom (no egress window). The unfinished area also includes a small bathroom with a stand-up shower for added convenience. This home comes with great updates including a roof (2017), furnace (2014), A/C (1990), and hot water heater (2012). A Culligan water softener (2020), washer and dryer (2016), and even a deep freezer are all included as an added bonus! Newer windows are found throughout the home, and average utilities run approximately $150-$250 per month depending on usage. Step outside to enjoy your evenings on the 10 x 12 back patio overlooking a fenced-in yard-perfect for pets, kids, or simply relaxing. Conveniently located near both the high school and elementary school, this home truly checks the boxes. If you're intrigued, don't wait-reach out to your favorite [Redacted] today and ""Spring"" into this home!",204900.0,1799.0,7405.0,1.0,2.0,2.0,2.0,2.0,1.0,1958.0,197000.0,2026-05-04,0.9614,109.51,68
townhomes,townhouse,"Fantastic zero lot home, very well cared for and updated!! Enter onto the flowing Vinyl Plank floors into the expansive Living room that flows into the smart, updated Kitchen that features, Tons of Cabinets, Quartz countertops, Ceramic backsplash and New Stainless Appliances. 3 bedrooms abound upstairs with the Primary featuring a Remodeled full bath with New Walk in Shower and attachments. Head to the Finished basement featuring another Bedroom, full bath and expansive Family room with Media room! Full screen make this the place for the big game! Every area of this home has been elevated in all of its beauty! This home will not disappoint! Make it yours today!",229900.0,1370.0,,,3.0,3.0,2.0,2.0,1.0,2007.0,238775.0,2026-05-04,1.0386,174.29,19
townhomes,townhouse,"SPECIAL FINANCING OFFERS AVAILABLE! READY FOR JANUARY DELIVERY! Homesite #1541 Enter a sanctuary of comfort and charm in this stunning Darcy model. This three-bedroom, two-and-a-half-bathroom townhome showcases a striking contemporary design, thoughtfully crafted for modern living. The main level boasts an open-concept layout where the kitchen, great room, and dining area flow together seamlessly. Notable kitchen features include a spacious center island, sleek quartz countertops, ample cabinetry, a undermount sink, and top-of-the-line stainless steel appliances. Elegant touches-such as two-panel interior doors, classic colonist trim, luxury vinyl plank flooring, and energy-efficient LED lighting-further enhance the home's appeal. Perched on the second floor, a spacious, the light-filled loft offers a heightened sense of openness and possibility. Whether imagined as a home office, an inspiring creative studio, or a cozy reading nook, this adaptable space meets your needs with style. Completing the upstairs are three inviting bedrooms, including a luxe owner's suite designed for ultimate comfort and sophistication. The owner's suite offers a private retreat with a spacious walk-in closet, and a spa-inspired deluxe shower-your personal haven after a long day. *Photos are not this actual home* Welcome to Hudson Pointe II, a beautifully designed master-planned community offering brand-new homes in the heart of Oswego, Illinois. Perfectly blending comfort, convenience, and natural beauty, this neighborhood is ideal for families and individuals seeking a balanced lifestyle. Right within the community, residents can enjoy a well-maintained park for leisurely play and gatherings, as well as a serene pond that enhances the peaceful atmosphere of Hudson Pointe II. Just 10 minutes from the Naperville Route 59 corridor, Hudson Pointe II places premier shopping, dining, and entertainment within easy reach. Access top destinations like Whole Foods, Amazon Fresh Market, LA Fitness, and Costco, along with a variety of local restaurants and entertainment spots. Families will appreciate the top-rated Oswego School District 308, with students attending Southbury Elementary, Murphy Junior High, and Oswego East High School-all conveniently located within a 10-minute drive. Outdoor enthusiasts will love the close proximity to Wolf's Crossing Community Park, offering an array of recreational features including playgrounds, an outdoor fitness area, a splash pad, and more-perfect for year-round family fun. At Hudson Pointe II, you're not just buying a home-you're joining a thoughtfully planned community where modern living meets natural charm and everyday convenience.",379490.0,1717.0,,,3.0,3.0,2.0,2.0,2.0,2025.0,362000.0,2026-05-04,0.9539,210.83,1
townhomes,townhouse,"SPECIAL FINANCING AVAILABLE! READY FOR DECEMBER DELIVERY!! Homesite# 1501 Introducing the Marianne, a newly designed two-story duplex that seamlessly blends comfort and elegance. This model offers three spacious bedrooms, two full baths, a half bath, complete with a two-car garage for added convenience. The first floor features the great room, the focal point of the home, effortlessly flowing into the dining area and the open kitchen. The kitchen boasts a magnificent island with a breakfast bar, 42"" cabinets, polished quartz countertops, and stainless steel appliances. Luxury vinyl plank flooring spans the main floor. On the second floor, you'll find two generously sized secondary bedrooms, along with the exquisite owner's suite-a true sanctuary to unwind after a busy day. This serene retreat includes a generous walk-in closet and a spa-inspired bath for the ultimate relaxation experience. Complete with a convenient upstairs laundry room, the Marianne combines thoughtful design and modern amenities, offering both comfort and style in every corner. *Photos are not this actual home* Tucked into a peaceful and walkable neighborhood, the Oaks of Volo offers a perfect blend of comfort, community, and convenience. This thoughtfully designed community features both traditional and urban townhomes surrounded by green open spaces, winding walking paths, and a centrally located park and playground - ideal for families and outdoor enthusiasts alike. Living in Volo means enjoying a serene suburban lifestyle with easy access to nature. Residents are just minutes from the expansive Moraine Hills State Park, where hiking, biking, and bird-watching await. You'll also find plenty of recreation options through the Round Lake Area Park District, including sports fields, aquatic centers, and year-round community events. Whether you're enjoying a quiet stroll through the neighborhood or exploring the surrounding natural beauty, Oaks of Volo offers the perfect setting to unwind, connect, and feel right at home.",331540.0,1767.0,,,3.0,3.0,2.0,2.0,2.0,2025.0,336540.0,2026-05-04,1.0151,190.46,1
single_family,,,409000.0,1651.0,6534.0,1.0,2.0,2.0,2.0,2.0,2.0,2003.0,402500.0,2026-05-04,0.9841,243.79,23
single_family,,"Tastefully Renovated Georgian in impeccable condition sitting on an oversized lot remodeled from top to bottom. Features new baths and kitchen with 42 inch cabinets Granite countertop with a full four piece Samsung stainless steel appliance package. Hardwood floors throughout, Andersen doors, fully finished basement complete with rec room and bath. New HVAC, C/A, H20, and Electric makes this a maintenance free dream. Fully fenced deep yard with motion lights and a new 2 car garage wired for EV Charger also alarm stays!!!!",245000.0,1300.0,,2.0,2.0,2.0,1.0,1.0,2.0,1945.0,250000.0,2026-05-04,1.0204,192.31,81
single_family,,"This beautifully maintained home is truly move-in ready, featuring a long list of thoughtful updates and modern finishes throughout, including hardwood floors, fresh paint, and updated fixtures. The roof was replaced in 2021, and all windows were updated in 2020, offering peace of mind and improved energy efficiency. The home also features zoned HVAC with separate systems for the first and second floors, providing optimal comfort year-round. The stunning kitchen was completely renovated in 2023 and showcases quartz countertops, a sleek glass backsplash, 42-inch cabinets with integrated lighting, black stainless steel appliances, and recessed can lighting-perfect for both everyday living and entertaining. The spacious primary suite offers a large bedroom, a walk-in closet, and a full en-suite bath updated in 2017, featuring a soaking tub/shower combo with a sitting area. Additional bathrooms have been tastefully updated, including a full basement bath (2026) and a refreshed first-floor bath (2022). Step outside to enjoy a fully fenced yard with plenty of green space and added lighting (2017), along with a freshly painted exterior (2024), enhancing both curb appeal and outdoor enjoyment. A convenient backyard gate provides a shortcut for an easy walk to the nearby school. Car enthusiasts or hobbyists will appreciate the 3-car garage, complete with a heater for year-round use. Combining modern updates, functionality, and location, this home is ready for its next owner. Schedule your showing today and make it yours.",389900.0,1990.0,,2.0,4.0,3.0,3.0,3.0,3.0,1935.0,393000.0,2026-05-04,1.008,197.49,91
single_family,,"Solid-brick single-family home for sale, it offers 5 bedrooms and 2 bathrooms across two spacious levels. The main floor features 3 bedrooms and 1 bathroom, with hardwood flooring flowing through the sun-filled living and dining areas. A large front window fills the living room with natural light, while the well-appointed kitchen provides abundant cabinet and countertop space.The lower level is perfect for related living or an in-law arrangement, complete with 2 generous bedrooms, a full bathroom with a relaxing jacuzzi tub, a second kitchen, and a large family room. Additional highlights include central heating and cooling, an in-unit washer and dryer, and a lush backyard ideal for summer BBQs and outdoor enjoyment. A spacious 2-car garage offers ample parking and storage. Conveniently located just minutes from McDonald's, grocery stores, shops, and public transportation.",349000.0,1200.0,3001.0,1.0,3.0,2.0,2.0,2.0,2.0,2004.0,345000.0,2026-05-04,0.9885,287.5,22
